gene_symbol	accession_numbers	ensembl_id
A1BG		ENSG00000121410
A1BG-AS1	BC040926	ENSG00000268895
A1CF	AF271790	ENSG00000148584
A2M	BX647329, X68728, M11313	ENSG00000175899
A2M-AS1		ENSG00000245105
A2ML1	AK057908	ENSG00000166535
A2ML1-AS1		ENSG00000256661
A2ML1-AS2		ENSG00000256904
A2MP1	M24415	ENSG00000256069
A3GALT2		ENSG00000184389
A4GALT		ENSG00000128274
A4GNT	AF141315	ENSG00000118017
AAAS	AJ289841	ENSG00000094914
AACS	AK022451	ENSG00000081760
AACSP1		ENSG00000250420
AADAC	L32179	ENSG00000114771
AADACL2	BC065724	ENSG00000197953
AADACL2-AS1		ENSG00000242908
AADACL3		ENSG00000188984
AADACL4		ENSG00000204518
AADACP1		ENSG00000240602
AADAT	AF097994	ENSG00000109576
AAGAB	AL136715	ENSG00000103591
AAK1	AB028971	ENSG00000115977
AAMDC	BC016854	ENSG00000087884
AAMP	AB209790	ENSG00000127837
AANAT	U40347	ENSG00000129673
AAR2		ENSG00000131043
AARD	AB181519, BC140924	ENSG00000205002
AARS	D32050	ENSG00000090861
AARS2	AB033096	ENSG00000124608
AARSD1	BC004172	ENSG00000266967
AARSP1		ENSG00000249038
AASDH	AF516672	ENSG00000157426
AASDHPPT	AF302110	ENSG00000149313
AASS	AF229180	ENSG00000008311
AATBC		ENSG00000215458
AATF	AF083208	ENSG00000275700
AATK	AB014541	ENSG00000181409
AAVS1	S51329	
ABALON	KC505631	ENSG00000281376
ABAT	L32961	ENSG00000183044
ABCA1	AJ012376	ENSG00000165029
ABCA2	U18235	ENSG00000107331
ABCA3	U78735	ENSG00000167972
ABCA4	U88667	ENSG00000198691
ABCA5	U66672	ENSG00000154265
ABCA6	U66680	ENSG00000154262
ABCA7	AF328787	ENSG00000064687
ABCA8	AB020629	ENSG00000141338
ABCA9	AF423307	ENSG00000154258
ABCA9-AS1		ENSG00000231749
ABCA10	AY247065	ENSG00000154263
ABCA11P	AK024359	ENSG00000251595
ABCA12	AF418105	ENSG00000144452
ABCA13	AY204751	ENSG00000179869
ABCA17P	DQ266102	ENSG00000238098
ABCB1	M14758	ENSG00000085563
ABCB4	M23234	ENSG00000005471
ABCB5	U66692	ENSG00000004846
ABCB6	AF070598	ENSG00000115657
ABCB7	AF038950	ENSG00000131269
ABCB8	AF047690	ENSG00000197150
ABCB9	U66676	ENSG00000150967
ABCB10	U18237	ENSG00000135776
ABCB10P1	AF218417	ENSG00000274099
ABCB10P3		ENSG00000261524
ABCB10P4		ENSG00000260053
ABCB11	AF091582	ENSG00000073734
ABCC1	L05628	ENSG00000103222
ABCC2	U63970	ENSG00000023839
ABCC3	Y17151	ENSG00000108846
ABCC4	U66682	ENSG00000125257
ABCC5	AF104942	ENSG00000114770
ABCC5-AS1		ENSG00000223882
ABCC6	AF076622	ENSG00000091262
ABCC6P1	BC075833	ENSG00000256340
ABCC6P2		ENSG00000255277
ABCC8	L78207	ENSG00000006071
ABCC9	AF061323	ENSG00000069431
ABCC10	U66684	ENSG00000124574
ABCC11	AF367202	ENSG00000121270
ABCC12	AY040220	ENSG00000140798
ABCC13	AF418600	ENSG00000243064
ABCD1	Z21876	ENSG00000101986
ABCD1P1	U90290	
ABCD1P2	U90288	ENSG00000215151
ABCD1P3	U90289	ENSG00000261233
ABCD1P4	U90291	ENSG00000225293
ABCD1P5		ENSG00000214330
ABCD2	U28150	ENSG00000173208
ABCD3	M81182	ENSG00000117528
ABCD4	AF009746	ENSG00000119688
ABCE1	X74987	ENSG00000164163
ABCF1	AF027302	ENSG00000204574
ABCF1-DT		
ABCF2	AJ005016	ENSG00000033050
ABCF2P1		ENSG00000242159
ABCF2P2		ENSG00000228769
ABCF3	U66685	ENSG00000161204
ABCG1	U34919	ENSG00000160179
ABCG2	AF103796	ENSG00000118777
ABCG4	AJ300465	ENSG00000172350
ABCG5	T93792	ENSG00000138075
ABCG8	AF320294	ENSG00000143921
ABHD1	AK093447	ENSG00000143994
ABHD2	X12433	ENSG00000140526
ABHD3	AK024880	ENSG00000158201
ABHD4	AK022878	ENSG00000100439
ABHD5	AF007132	ENSG00000011198
ABHD6	AF225418	ENSG00000163686
ABHD8	AK021805	ENSG00000127220
ABHD10	AL713726	ENSG00000144827
ABHD11	AF217971	ENSG00000106077
ABHD11-AS1	BU595969	ENSG00000225969
ABHD12	AL117442	ENSG00000100997
ABHD12B	BG698443	ENSG00000131969
ABHD13	AK027812	ENSG00000139826
ABHD14A	AY358201	ENSG00000248487
ABHD14A-ACY1		ENSG00000114786
ABHD14B	AK075112	ENSG00000114779
ABHD15	AK056717	ENSG00000168792
ABHD15-AS1	CN275323	ENSG00000264031
ABHD16A	AF129756	ENSG00000204427
ABHD16B		ENSG00000183260
ABHD17A	BC020512	ENSG00000129968
ABHD17AP1		ENSG00000198658
ABHD17AP3		ENSG00000250536
ABHD17AP4		ENSG00000229107
ABHD17AP5		ENSG00000263366
ABHD17AP6		ENSG00000226981
ABHD17AP7		ENSG00000260864
ABHD17AP8		ENSG00000260540
ABHD17AP9		ENSG00000261536
ABHD17B	AF151825	ENSG00000107362
ABHD17C		ENSG00000136379
ABHD18	AK024759	ENSG00000164074
ABI1	U87166	ENSG00000136754
ABI1P1		ENSG00000271484
ABI2	AF260261	ENSG00000138443
ABI3	AB037886	ENSG00000108798
ABI3BP	AB056106	ENSG00000154175
ABITRAM	BC015795	ENSG00000119328
ABITRAMP1		ENSG00000251106
ABL1	M14752	ENSG00000097007
ABL2	M14904	ENSG00000143322
ABLIM1	AF005654	ENSG00000099204
ABLIM2	AB058711	ENSG00000163995
ABLIM3	AB020650	ENSG00000173210
ABO	AF134415	ENSG00000175164
ABR	L19704	ENSG00000159842
ABRA	AF503617	ENSG00000174429
ABRACL	BC014953	ENSG00000146386
ABRAXAS1	AK023676	ENSG00000163322
ABRAXAS2	D63877	ENSG00000165660
ABT1	AB027258	ENSG00000146109
ABT1P1		ENSG00000250496
ABTB1	AB053324	ENSG00000114626
ABTB2	AK056863	ENSG00000166016
ACAA1	X14813	ENSG00000060971
ACAA2	D16294	ENSG00000167315
ACACA	U19822	ENSG00000278540
ACACB	U89344	ENSG00000076555
ACAD8	AF126245	ENSG00000151498
ACAD9	AF078854	ENSG00000177646
ACAD10	AY323912	ENSG00000111271
ACAD11	BC019607	ENSG00000240303
ACADL	M74096	ENSG00000115361
ACADM	M16827	ENSG00000117054
ACADS	M26393	ENSG00000122971
ACADSB	U12778	ENSG00000196177
ACADVL	BC012912	ENSG00000072778
ACAN	M55172	ENSG00000157766
ACAP1	D30758	ENSG00000072818
ACAP2		ENSG00000114331
ACAP2-IT1		ENSG00000229325
ACAP3	AF411981	ENSG00000131584
ACAT1	D90228	ENSG00000075239
ACAT2	AF356877	ENSG00000120437
ACBD3	AB043587	ENSG00000182827
ACBD3-AS1	AW511419	ENSG00000234478
ACBD4	BC029164	ENSG00000181513
ACBD5	AF505653	ENSG00000107897
ACBD6	BC006505	ENSG00000230124
ACBD7	AK095538	ENSG00000176244
ACCS	AY026508	ENSG00000110455
ACCSL		ENSG00000205126
ACD	AF070535	ENSG00000102977
ACE	J04144	ENSG00000159640
ACE2	AF291820	ENSG00000130234
ACE3P		ENSG00000224353
ACER1	AF347024	ENSG00000167769
ACER2	AK123581	ENSG00000177076
ACER3	AF214454	ENSG00000078124
ACHE		ENSG00000087085
ACIN1	AB014570	ENSG00000100813
ACKR1	U01839	ENSG00000213088
ACKR2	U94888	ENSG00000144648
ACKR3	BC008459	ENSG00000144476
ACKR4	AF110640	ENSG00000129048
ACKR4P1		ENSG00000225415
ACLS		
ACLY	X64330	ENSG00000131473
ACMSD	AB071418	ENSG00000153086
ACNATP		ENSG00000227411
ACO1	M58510	ENSG00000122729
ACO2	AH006514	ENSG00000100412
ACOD1		ENSG00000102794
ACOT1	DQ082754	ENSG00000184227
ACOT2	AY005822, AK001939	ENSG00000119673
ACOT4	BC031799	ENSG00000177465
ACOT6	DQ082756, BF109853	ENSG00000205669
ACOT7	AB074417	ENSG00000097021
ACOT8	AF014404	ENSG00000101473
ACOT9	AF132950	ENSG00000123130
ACOT11	AB014607	ENSG00000162390
ACOT12	AB078619	ENSG00000172497
ACOT13	AF220186	ENSG00000112304
ACOX1	U03254	ENSG00000161533
ACOX2	X95190	ENSG00000168306
ACOX3	Y11411	ENSG00000087008
ACOXL		ENSG00000153093
ACOXL-AS1		ENSG00000204581
ACP1	M87546	ENSG00000143727
ACP2	X15525	ENSG00000134575
ACP4	AF321918	ENSG00000142513
ACP5	X14618	ENSG00000102575
ACP6	BC009965	ENSG00000162836
ACP7		ENSG00000183760
ACPP		ENSG00000014257
ACR	CR456366	ENSG00000100312
ACRBP	AB051833	ENSG00000111644
ACRV1	AK223335	ENSG00000134940
ACSBG1	AB014531	ENSG00000103740
ACSBG2		ENSG00000130377
ACSF2	AK024573, BC012053	ENSG00000167107
ACSF3	AK075499	ENSG00000176715
ACSL1	BC026290	ENSG00000151726
ACSL3	D89053	ENSG00000123983
ACSL4	BC034959	ENSG00000068366
ACSL5	AB033899	ENSG00000197142
ACSL6	AB020644	ENSG00000164398
ACSM1	AB059429	ENSG00000166743
ACSM2A	AK091878, AK096039	ENSG00000183747
ACSM2B	AY160217	ENSG00000066813
ACSM3	D16350	ENSG00000005187
ACSM4		ENSG00000215009
ACSM5		ENSG00000183549
ACSM5P1		ENSG00000260762
ACSM6		ENSG00000173124
ACSS1		ENSG00000154930
ACSS2	AF263614	ENSG00000131069
ACSS3		ENSG00000111058
ACTA1	J00068	ENSG00000143632
ACTA2	X13839	ENSG00000107796
ACTA2-AS1	AK093340, AX748062	ENSG00000180139
ACTB	M28424	ENSG00000075624
ACTBL2		ENSG00000169067
ACTBP1		ENSG00000229145
ACTBP2		ENSG00000213763
ACTBP3		
ACTBP4		
ACTBP6		ENSG00000203413
ACTBP7	V00479	ENSG00000185607
ACTBP8	V00481	ENSG00000220267
ACTBP9	D50604	ENSG00000266920
ACTBP10		
ACTBP11		ENSG00000188460
ACTBP12		ENSG00000233125
ACTBP13		ENSG00000234667
ACTBP14		ENSG00000229001
ACTC1	BC009978	ENSG00000159251
ACTG1		ENSG00000184009
ACTG1P1	D50658	ENSG00000178631
ACTG1P2		ENSG00000229129
ACTG1P3	AF196978	ENSG00000215388
ACTG1P4		ENSG00000236085
ACTG1P6		
ACTG1P7		
ACTG1P8		
ACTG1P9	D50659	ENSG00000229349
ACTG1P10	AL139396	ENSG00000231340
ACTG1P11		ENSG00000229465
ACTG1P12		ENSG00000226642
ACTG1P13		ENSG00000241305
ACTG1P14		ENSG00000230581
ACTG1P15		ENSG00000259904
ACTG1P16		ENSG00000260298
ACTG1P17		ENSG00000259315
ACTG1P18		ENSG00000218475
ACTG1P19		ENSG00000237999
ACTG1P20		ENSG00000241547
ACTG1P21		ENSG00000232672
ACTG1P22		ENSG00000271615
ACTG1P23		ENSG00000230362
ACTG1P24		ENSG00000226359
ACTG2		ENSG00000163017
ACTL6A	AK098691	ENSG00000136518
ACTL6B	AB015906	ENSG00000077080
ACTL7A	BC014610	ENSG00000187003
ACTL7B	BC033789	ENSG00000148156
ACTL8	AK057339	ENSG00000117148
ACTL9		ENSG00000181786
ACTL10	AL121906	ENSG00000182584
ACTN1	M95178	ENSG00000072110
ACTN1-AS1	DB029126, AI147349	ENSG00000259062
ACTN2	BC047901	ENSG00000077522
ACTN3	M86407	ENSG00000248746
ACTN4	D89980	ENSG00000130402
ACTN4P1		ENSG00000213493
